$DATA1 SOURCE='HSPICE' VERSION='O-2018.09-SP1-1 linux64' PARAM_COUNT=1,,,
$OPTION MEASFORM=3,,,
.TITLE '** generated for: hspiced',,,
vdd_val,power,temper,alter#
0.40 ,1.26E-06,2.50E+01,1
0.50 ,2.00E-06,2.50E+01,1
0.60 ,2.77E-06,2.50E+01,1
0.70 ,3.74E-06,2.50E+01,1
0.80 ,4.94E-06,2.50E+01,1
0.90 ,6.39E-06,2.50E+01,1
1.00 ,8.11E-06,2.50E+01,1
1.10 ,9.69E-06,2.50E+01,1
