$DATA1 SOURCE='HSPICE' VERSION='O-2018.09-SP1-1 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '** generated for: hspiced'
vgs,id1,id0,lambda,temper,alter#
 3.000e-01, 7.948e-06, 6.253e-06, 2.960e+00, 2.500e+01,1
 3.500e-01, 1.403e-05, 1.179e-05, 1.529e+00, 2.500e+01,1
 4.000e-01, 2.139e-05, 1.870e-05, 1.009e+00, 2.500e+01,1
 4.500e-01, 2.976e-05, 2.664e-05, 7.651e-01, 2.500e+01,1
 5.000e-01, 3.889e-05, 3.531e-05, 6.347e-01, 2.500e+01,1
