$DATA1 SOURCE='HSPICE' VERSION='O-2018.09-SP1-1 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '** generated for: hspiced'
vbs,k,idm,vgsm,vt,temper,alter#
-7.000e-01, 1.764e-06, 1.262e-07, 2.810e-01, 2.095e-01, 2.500e+01,1
-6.000e-01, 1.764e-06, 1.262e-07, 2.810e-01, 2.095e-01, 2.500e+01,1
-5.000e-01, 1.764e-06, 1.262e-07, 2.810e-01, 2.095e-01, 2.500e+01,1
-4.000e-01, 1.764e-06, 1.262e-07, 2.810e-01, 2.095e-01, 2.500e+01,1
-3.000e-01, 1.764e-06, 1.262e-07, 2.810e-01, 2.095e-01, 2.500e+01,1
-2.000e-01, 1.764e-06, 1.262e-07, 2.810e-01, 2.095e-01, 2.500e+01,1
-1.000e-01, 1.764e-06, 1.262e-07, 2.810e-01, 2.095e-01, 2.500e+01,1
   0., 1.764e-06, 1.262e-07, 2.810e-01, 2.095e-01, 2.500e+01,1
