$DATA1 SOURCE='HSPICE' VERSION='O-2018.09-SP1-1 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '** generated for: hspiced'
vdd,ivdd,rvdd,ivdd2,rvdd2,req,temper,alter#
 2.000e-01,-3.304e-07, 6.053e+05,-2.384e-07, 3.027e+05, 4.540e+05, 2.500e+01,1
 4.000e-01,-1.596e-05, 2.506e+04,-1.296e-05, 1.253e+04, 1.879e+04, 2.500e+01,1
 6.000e-01,-5.138e-05, 1.168e+04,-4.387e-05, 5.839e+03, 8.759e+03, 2.500e+01,1
 8.000e-01,-9.414e-05, 8.498e+03,-8.040e-05, 4.249e+03, 6.373e+03, 2.500e+01,1
 1.000e+00,-1.400e-04, 7.141e+03,-1.177e-04, 3.570e+03, 5.356e+03, 2.500e+01,1
 1.200e+00,-1.875e-04, 6.398e+03,-1.535e-04, 3.199e+03, 4.799e+03, 2.500e+01,1
 1.400e+00,-2.360e-04, 5.932e+03,-1.863e-04, 2.966e+03, 4.449e+03, 2.500e+01,1
