$DATA1 SOURCE='HSPICE' VERSION='O-2018.09-SP1-1 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '** generated for: hspiced'
vdd,ivdd,rvdd,ivdd2,rvdd2,req,temper,alter#
 2.000e-01, 4.494e-07, 4.450e+05, 3.420e-07, 2.225e+05, 3.337e+05, 2.500e+01,1
 4.000e-01, 1.870e-05, 2.139e+04, 1.579e-05, 1.069e+04, 1.604e+04, 2.500e+01,1
 6.000e-01, 5.865e-05, 1.023e+04, 5.118e-05, 5.115e+03, 7.673e+03, 2.500e+01,1
 8.000e-01, 1.065e-04, 7.510e+03, 9.259e-05, 3.755e+03, 5.633e+03, 2.500e+01,1
 1.000e+00, 1.578e-04, 6.339e+03, 1.352e-04, 3.170e+03, 4.754e+03, 2.500e+01,1
 1.200e+00, 2.107e-04, 5.695e+03, 1.768e-04, 2.848e+03, 4.271e+03, 2.500e+01,1
 1.400e+00, 2.646e-04, 5.290e+03, 2.160e-04, 2.645e+03, 3.968e+03, 2.500e+01,1
