$DATA1 SOURCE='HSPICE' VERSION='O-2018.09-SP1-1 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '** generated for: hspiced'
vdd,ivdd,rvdd,ivdd2,rvdd2,req,temper,alter#
 4.000e-01,-1.142e-05, 3.504e+04,-8.798e-06, 1.752e+04, 2.628e+04, 2.500e+01,1
 6.000e-01,-4.263e-05, 1.408e+04,-3.541e-05, 7.038e+03, 1.056e+04, 2.500e+01,1
 8.000e-01,-7.871e-05, 1.016e+04,-6.690e-05, 5.082e+03, 7.623e+03, 2.500e+01,1
 1.000e+00,-1.164e-04, 8.593e+03,-9.985e-05, 4.297e+03, 6.445e+03, 2.500e+01,1
 1.200e+00,-1.550e-04, 7.743e+03,-1.335e-04, 3.872e+03, 5.808e+03, 2.500e+01,1
 1.400e+00,-1.948e-04, 7.188e+03,-1.674e-04, 3.594e+03, 5.391e+03, 2.500e+01,1
 1.600e+00,-2.367e-04, 6.758e+03,-2.011e-04, 3.379e+03, 5.069e+03, 2.500e+01,1
 1.800e+00,-2.833e-04, 6.354e+03,-2.337e-04, 3.177e+03, 4.766e+03, 2.500e+01,1
