$DATA1 SOURCE='HSPICE' VERSION='O-2018.09-SP1-1 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '** generated for: hspiced'
vdd,ivdd,rvdd,ivdd2,rvdd2,req,temper,alter#
 4.000e-01, 1.061e-05, 3.770e+04, 8.591e-06, 1.885e+04, 2.828e+04, 2.500e+01,1
 6.000e-01, 4.058e-05, 1.479e+04, 3.507e-05, 7.394e+03, 1.109e+04, 2.500e+01,1
 8.000e-01, 7.326e-05, 1.092e+04, 6.434e-05, 5.460e+03, 8.190e+03, 2.500e+01,1
 1.000e+00, 1.056e-04, 9.467e+03, 9.320e-05, 4.734e+03, 7.100e+03, 2.500e+01,1
 1.200e+00, 1.373e-04, 8.737e+03, 1.213e-04, 4.369e+03, 6.553e+03, 2.500e+01,1
 1.400e+00, 1.684e-04, 8.316e+03, 1.487e-04, 4.158e+03, 6.237e+03, 2.500e+01,1
 1.600e+00, 1.988e-04, 8.049e+03, 1.753e-04, 4.024e+03, 6.036e+03, 2.500e+01,1
 1.800e+00, 2.289e-04, 7.864e+03, 2.012e-04, 3.932e+03, 5.898e+03, 2.500e+01,1
