$DATA1 SOURCE='HSPICE' VERSION='O-2018.09-SP1-1 linux64' PARAM_COUNT=1,,,,,,,,,
$OPTION MEASFORM=3,,,,,,,,,
.TITLE '** generated for: hspiced',,,,,,,,,
vdd_val,tohl,tihl,tphl,tolh,tilh,tplh,tp,temper,alter#
0.40 ,4.04E-11,5.00E-12,3.54E-11,6.98E-11,5.50E-11,1.48E-11,2.51E-11,2.50E+01,1
0.50 ,2.50E-11,5.00E-12,2.00E-11,7.07E-11,5.50E-11,1.57E-11,1.79E-11,2.50E+01,1
0.60 ,2.00E-11,5.00E-12,1.50E-11,6.72E-11,5.50E-11,1.22E-11,1.36E-11,2.50E+01,1
0.70 ,1.73E-11,5.00E-12,1.23E-11,6.49E-11,5.50E-11,9.93E-12,1.11E-11,2.50E+01,1
0.80 ,1.58E-11,5.00E-12,1.08E-11,6.37E-11,5.50E-11,8.71E-12,9.76E-12,2.50E+01,1
0.90 ,1.48E-11,5.00E-12,9.77E-12,6.29E-11,5.50E-11,7.89E-12,8.83E-12,2.50E+01,1
1.00 ,1.41E-11,5.00E-12,9.13E-12,6.22E-11,5.50E-11,7.24E-12,8.18E-12,2.50E+01,1
1.10 ,1.36E-11,5.00E-12,8.57E-12,6.18E-11,5.50E-11,6.81E-12,7.69E-12,2.50E+01,1
