$DATA1 SOURCE='HSPICE' VERSION='O-2018.09-SP1-1 linux64' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '** generated for: hspiced'
vgs,id1,id0,lambda,temper,alter#
 1.000e-01, 1.081e-07, 8.802e-08,-2.164e+00, 2.500e+01,1
 3.000e-01, 5.982e-06, 5.294e-06,-7.662e+00, 2.500e+01,1
 5.000e-01, 3.186e-05, 3.037e-05, 8.738e-01, 2.500e+01,1
 7.000e-01, 6.213e-05, 6.040e-05, 3.871e-01, 2.500e+01,1
 9.000e-01, 9.146e-05, 8.952e-05, 2.691e-01, 2.500e+01,1
